anio_academico,periodo_lectivo,resultado_desc2,cantidad,time,prop_actuacion
2019,11 - CURSOS VERANO,Con actuación,1153,2019 11 - CURSOS VERANO,59.37178166838311
2019,11 - CURSOS VERANO,Sin actuación,789,2019 11 - CURSOS VERANO,40.628218331616885
2019,11 - PRIMER SEMESTRE,Con actuación,26657,2019 11 - PRIMER SEMESTRE,75.50488599348533
2019,11 - PRIMER SEMESTRE,Sin actuación,8648,2019 11 - PRIMER SEMESTRE,24.495114006514658
2019,11 - SEGUNDO SEMESTRE,Con actuación,27454,2019 11 - SEGUNDO SEMESTRE,73.9163211458726
2019,11 - SEGUNDO SEMESTRE,Sin actuación,9688,2019 11 - SEGUNDO SEMESTRE,26.083678854127403
2019,NIVELACION,Con actuación,8587,2019 NIVELACION,100
2019,NIVELACION REDICTADO,Con actuación,927,2019 NIVELACION REDICTADO,54.052478134110785
2019,NIVELACION REDICTADO,Sin actuación,788,2019 NIVELACION REDICTADO,45.947521865889215
2020,11 - CURSOS VERANO,Con actuación,1330,2020 11 - CURSOS VERANO,63.003315963998105
2020,11 - CURSOS VERANO,Sin actuación,781,2020 11 - CURSOS VERANO,36.996684036001895
2020,11 - NIVELACION,Con actuación,7726,2020 11 - NIVELACION,84.31736330895994
2020,11 - NIVELACION,Sin actuación,1437,2020 11 - NIVELACION,15.682636691040052
2020,11 - NIVELACION REDICTADO,Con actuación,1676,2020 11 - NIVELACION REDICTADO,64.46153846153845
2020,11 - NIVELACION REDICTADO,Sin actuación,924,2020 11 - NIVELACION REDICTADO,35.53846153846154
2020,11 - PRIMER SEMESTRE,Con actuación,29410,2020 11 - PRIMER SEMESTRE,84.22590068159688
2020,11 - PRIMER SEMESTRE,Sin actuación,5508,2020 11 - PRIMER SEMESTRE,15.774099318403115
2020,11 - SEGUNDO SEMESTRE,Con actuación,28478,2020 11 - SEGUNDO SEMESTRE,75.61467792469864
2020,11 - SEGUNDO SEMESTRE,Sin actuación,9184,2020 11 - SEGUNDO SEMESTRE,24.385322075301367
2021,11 - CURSOS VERANO,Con actuación,1256,2021 11 - CURSOS VERANO,63.91857506361324
2021,11 - CURSOS VERANO,Sin actuación,709,2021 11 - CURSOS VERANO,36.08142493638677
2021,11 - NIVELACION MAYO,Con actuación,3162,2021 11 - NIVELACION MAYO,54.04204409502648
2021,11 - NIVELACION MAYO,Sin actuación,2689,2021 11 - NIVELACION MAYO,45.95795590497351
2021,11 - PRIMER SEMESTRE,Con actuación,24759,2021 11 - PRIMER SEMESTRE,75.27820006080876
2021,11 - PRIMER SEMESTRE,Sin actuación,8131,2021 11 - PRIMER SEMESTRE,24.721799939191243
2021,11 - SEGUNDO SEMESTRE,Con actuación,25715,2021 11 - SEGUNDO SEMESTRE,74.08100944918183
2021,11 - SEGUNDO SEMESTRE,Sin actuación,8997,2021 11 - SEGUNDO SEMESTRE,25.91899055081816
2022,11 - NIVELACION,Con actuación,6184,2022 11 - NIVELACION,79.14000511901716
2022,11 - NIVELACION,Sin actuación,1630,2022 11 - NIVELACION,20.859994880982853
2022,11 - NIVELACION REDICTADO,Con actuación,1347,2022 11 - NIVELACION REDICTADO,59.15678524374176
2022,11 - NIVELACION REDICTADO,Sin actuación,930,2022 11 - NIVELACION REDICTADO,40.843214756258234
2022,11 - PRIMER SEMESTRE,Con actuación,19143,2022 11 - PRIMER SEMESTRE,79.42494398805079
2022,11 - PRIMER SEMESTRE,Sin actuación,4959,2022 11 - PRIMER SEMESTRE,20.575056011949215
