"Año","Propuesta Formativa","Período","Resultado","Finales"
"2019","Ciencias Económicas","2019 - 2 - Julio - Agosto","Aprobado","3179.0"
"2019","Ciencias Económicas","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","2692.0"
"2019","Ciencias Económicas","2019 - 2 - Nivelación","Aprobado","3767.0"
"2019","Ciencias Económicas","2019 - 2 - 11 - Febrero - Marzo","Aprobado","858.0"
"2019","Ciencias Económicas","2019 - 2 - Mayo","Ausente","6.0"
"2019","Ciencias Económicas","2019 - 2 - Julio - Agosto","Ausente","1906.0"
"2019","Ciencias Económicas","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","1556.0"
"2019","Ciencias Económicas","2019 - 2 - 11 - Febrero - Marzo","Ausente","1228.0"
"2019","Ciencias Económicas","2019 - 2 - Mayo","Reprobado","1.0"
"2019","Ciencias Económicas","2019 - 2 - Julio - Agosto","Reprobado","1854.0"
"2019","Ciencias Económicas","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","1480.0"
"2019","Ciencias Económicas","2019 - 2 - Nivelación","Reprobado","1669.0"
"2019","Ciencias Económicas","2019 - 2 - 11 - Febrero - Marzo","Reprobado","1059.0"
"2019","Contador Público","2019 - 2 - Mayo","Aprobado","711.0"
"2019","Contador Público","2019 - 2 - Julio - Agosto","Aprobado","7032.0"
"2019","Contador Público","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","6114.0"
"2019","Contador Público","2019 - 2 - Nivelación","Aprobado","10.0"
"2019","Contador Público","2019 - 2 - Septiembre","Aprobado","519.0"
"2019","Contador Público","2019 - 2 - 11 - Febrero - Marzo","Aprobado","3748.0"
"2019","Contador Público","2019 - 2 - Mayo","Ausente","1141.0"
"2019","Contador Público","2019 - 2 - Julio - Agosto","Ausente","7885.0"
"2019","Contador Público","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","5720.0"
"2019","Contador Público","2019 - 2 - Septiembre","Ausente","755.0"
"2019","Contador Público","2019 - 2 - 11 - Febrero - Marzo","Ausente","5332.0"
"2019","Contador Público","2019 - 2 - Mayo","Reprobado","624.0"
"2019","Contador Público","2019 - 2 - Julio - Agosto","Reprobado","4031.0"
"2019","Contador Público","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","3416.0"
"2019","Contador Público","2019 - 2 - Nivelación","Reprobado","5.0"
"2019","Contador Público","2019 - 2 - Septiembre","Reprobado","361.0"
"2019","Contador Público","2019 - 2 - 11 - Febrero - Marzo","Reprobado","3095.0"
"2019","Licenciatura en Administración","2019 - 2 - Mayo","Aprobado","165.0"
"2019","Licenciatura en Administración","2019 - 2 - Julio - Agosto","Aprobado","2007.0"
"2019","Licenciatura en Administración","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","1669.0"
"2019","Licenciatura en Administración","2019 - 2 - Nivelación","Aprobado","1.0"
"2019","Licenciatura en Administración","2019 - 2 - Septiembre","Aprobado","152.0"
"2019","Licenciatura en Administración","2019 - 2 - 11 - Febrero - Marzo","Aprobado","893.0"
"2019","Licenciatura en Administración","2019 - 2 - Mayo","Ausente","199.0"
"2019","Licenciatura en Administración","2019 - 2 - Julio - Agosto","Ausente","1855.0"
"2019","Licenciatura en Administración","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","1322.0"
"2019","Licenciatura en Administración","2019 - 2 - Septiembre","Ausente","153.0"
"2019","Licenciatura en Administración","2019 - 2 - 11 - Febrero - Marzo","Ausente","1129.0"
"2019","Licenciatura en Administración","2019 - 2 - Mayo","Reprobado","63.0"
"2019","Licenciatura en Administración","2019 - 2 - Julio - Agosto","Reprobado","750.0"
"2019","Licenciatura en Administración","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","627.0"
"2019","Licenciatura en Administración","2019 - 2 - Nivelación","Reprobado","1.0"
"2019","Licenciatura en Administración","2019 - 2 - Septiembre","Reprobado","52.0"
"2019","Licenciatura en Administración","2019 - 2 - 11 - Febrero - Marzo","Reprobado","587.0"
"2019","Licenciatura en Economía","2019 - 2 - Mayo","Aprobado","59.0"
"2019","Licenciatura en Economía","2019 - 2 - Julio - Agosto","Aprobado","650.0"
"2019","Licenciatura en Economía","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","637.0"
"2019","Licenciatura en Economía","2019 - 2 - Nivelación","Aprobado","4.0"
"2019","Licenciatura en Economía","2019 - 2 - Septiembre","Aprobado","55.0"
"2019","Licenciatura en Economía","2019 - 2 - 11 - Febrero - Marzo","Aprobado","432.0"
"2019","Licenciatura en Economía","2019 - 2 - Mayo","Ausente","46.0"
"2019","Licenciatura en Economía","2019 - 2 - Julio - Agosto","Ausente","463.0"
"2019","Licenciatura en Economía","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","351.0"
"2019","Licenciatura en Economía","2019 - 2 - Septiembre","Ausente","52.0"
"2019","Licenciatura en Economía","2019 - 2 - 11 - Febrero - Marzo","Ausente","319.0"
"2019","Licenciatura en Economía","2019 - 2 - Mayo","Reprobado","13.0"
"2019","Licenciatura en Economía","2019 - 2 - Julio - Agosto","Reprobado","221.0"
"2019","Licenciatura en Economía","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","130.0"
"2019","Licenciatura en Economía","2019 - 2 - Nivelación","Reprobado","2.0"
"2019","Licenciatura en Economía","2019 - 2 - Septiembre","Reprobado","16.0"
"2019","Licenciatura en Economía","2019 - 2 - 11 - Febrero - Marzo","Reprobado","145.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Mayo","Aprobado","22.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Julio - Agosto","Aprobado","382.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","243.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Septiembre","Aprobado","22.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - 11 - Febrero - Marzo","Aprobado","84.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Mayo","Ausente","11.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Julio - Agosto","Ausente","125.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","74.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Septiembre","Ausente","20.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - 11 - Febrero - Marzo","Ausente","62.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - Julio - Agosto","Reprobado","3.0"
"2019","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019 - 2 - 11 - Febrero - Marzo","Reprobado","1.0"
"2019","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2019 - 2 - 2019","Aprobado","55.0"
"2019","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2019 - 2 - Turno Único 2019","Aprobado","47.0"
"2019","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2019 - 2 - 2019","Aprobado","1.0"
"2019","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2019 - 2 - Turno Único 2019","Aprobado","1.0"
"2019","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2019 - 2 - Turno Único 2019","Aprobado","1.0"
"2019","Doctorado en Ciencias Económicas con Mención en Economía","2019 - 2 - 2019","Aprobado","28.0"
"2019","Doctorado en Ciencias Económicas con Mención en Economía","2019 - 2 - Turno Único 2019","Aprobado","13.0"
"2019","Doctorado en Ciencias Económicas con Mención en Economía","2019 - 2 - 2019","Ausente","1.0"
"2019","Doctorado en Demografía","2019 - 2 - 2019","Aprobado","55.0"
"2019","Doctorado en Demografía","2019 - 2 - Turno Único 2019","Aprobado","23.0"
"2019","Doctorado en Demografía","2019 - 2 - 2019","Ausente","1.0"
"2019","Doctorado en Demografía","2019 - 2 - Turno Único 2019","Ausente","10.0"
"2019","Especialización en Contabilidad Superior y Auditoría","2019 - 2 - 2019","Aprobado","114.0"
"2019","Especialización en Contabilidad Superior y Auditoría","2019 - 2 - Turno Único 2019","Aprobado","232.0"
"2019","Especialización en Contabilidad Superior y Auditoría","2019 - 2 - 2019","Ausente","3.0"
"2019","Especialización en Contabilidad Superior y Auditoría","2019 - 2 - Turno Único 2019","Ausente","3.0"
"2019","Especialización en Contabilidad Superior y Auditoría","2019 - 2 - 2019","Reprobado","3.0"
"2019","Especialización en Contabilidad Superior y Auditoría","2019 - 2 - Turno Único 2019","Reprobado","3.0"
"2019","Especialización en Derecho del Trabajo y de la Seguridad Social","2019 - 2 - 2019","Aprobado","19.0"
"2019","Especialización en Derecho del Trabajo y de la Seguridad Social","2019 - 2 - Turno Único 2019","Aprobado","2.0"
"2019","Especialización en Derecho del Trabajo y de la Seguridad Social","2019 - 2 - 2019","Ausente","2.0"
"2019","Especialización en Gestión de Tecnologías Innovadoras","2019 - 2 - 2019","Aprobado","65.0"
"2019","Especialización en Gestión de Tecnologías Innovadoras","2019 - 2 - Turno Único 2019","Aprobado","34.0"
"2019","Especialización en Gestión de Tecnologías Innovadoras","2019 - 2 - Turno Único 2019","Ausente","13.0"
"2019","Especialización en Sindicatura Concursal","2019 - 2 - 2019","Aprobado","52.0"
"2019","Especialización en Sindicatura Concursal","2019 - 2 - Turno Único 2019","Aprobado","35.0"
"2019","Especialización en Tributación","2019 - 2 - 2019","Aprobado","123.0"
"2019","Especialización en Tributación","2019 - 2 - Turno Único 2019","Aprobado","127.0"
"2019","Especialización en Tributación","2019 - 2 - 2019","Ausente","18.0"
"2019","Especialización en Tributación","2019 - 2 - 2019","Reprobado","6.0"
"2019","Especialización en Tributación","2019 - 2 - Turno Único 2019","Reprobado","1.0"
"2019","Maestría en Comercio Internacional","2019 - 2 - 2019","Aprobado","50.0"
"2019","Maestría en Comercio Internacional","2019 - 2 - Turno Único 2019","Aprobado","87.0"
"2019","Maestría en Comercio Internacional","2019 - 2 - 2019","Ausente","2.0"
"2019","Maestría en Comercio Internacional","2019 - 2 - Turno Único 2019","Ausente","3.0"
"2019","Maestría en Dirección de Negocios","2019 - 2 - 2019","Aprobado","609.0"
"2019","Maestría en Dirección de Negocios","2019 - 2 - Turno Único 2019","Aprobado","41.0"
"2019","Maestría en Dirección de Negocios","2019 - 2 - 2019","Ausente","37.0"
"2019","Maestría en Dirección de Negocios","2019 - 2 - Turno Único 2019","Ausente","3.0"
