"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Julio - Agosto","Aprobado","3179.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","2692.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Nivelación","Aprobado","3767.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - 11 - Febrero - Marzo","Aprobado","858.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Mayo","Ausente","6.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Julio - Agosto","Ausente","1906.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","1556.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - 11 - Febrero - Marzo","Ausente","1228.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Mayo","Reprobado","1.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Julio - Agosto","Reprobado","1854.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","1480.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - Nivelación","Reprobado","1669.0"
"Ciclo Básico o Común","Ciencias Económicas","2019","2019 - 2 - 11 - Febrero - Marzo","Reprobado","1059.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Febrero - Marzo","Aprobado","919.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11- Julio - Agosto","Aprobado","2976.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","2845.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Nivelación","Aprobado","3634.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Febrero - Marzo","Ausente","1453.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11- Julio - Agosto","Ausente","2485.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","1935.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Febrero - Marzo","Reprobado","1245.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11- Julio - Agosto","Reprobado","2098.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","1870.0"
"Ciclo Básico o Común","Ciencias Económicas","2020","2020 - 2 - 11 - Nivelación","Reprobado","970.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Nivelación","Aprobado","3388.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Julio - Agosto","Aprobado","3344.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Aprobado","2058.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Julio - Agosto","Ausente","2426.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Ausente","1806.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Nivelación","Reprobado","1226.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Julio - Agosto","Reprobado","2324.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Reprobado","1741.0"
"Ciclo Básico o Común","Ciencias Económicas","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","VACIO/NULO","100.0"
"Grado","Contador Público","2019","2019 - 2 - Mayo","Aprobado","711.0"
"Grado","Contador Público","2019","2019 - 2 - Julio - Agosto","Aprobado","7032.0"
"Grado","Contador Público","2019","2019 - 2 - 11 - Noviembre - Diciembre","Aprobado","6114.0"
"Grado","Contador Público","2019","2019 - 2 - Nivelación","Aprobado","10.0"
"Grado","Contador Público","2019","2019 - 2 - Septiembre","Aprobado","519.0"
"Grado","Contador Público","2019","2019 - 2 - 11 - Febrero - Marzo","Aprobado","3748.0"
"Grado","Contador Público","2019","2019 - 2 - Mayo","Ausente","1141.0"
"Grado","Contador Público","2019","2019 - 2 - Julio - Agosto","Ausente","7885.0"
"Grado","Contador Público","2019","2019 - 2 - 11 - Noviembre - Diciembre","Ausente","5720.0"
"Grado","Contador Público","2019","2019 - 2 - Septiembre","Ausente","755.0"
"Grado","Contador Público","2019","2019 - 2 - 11 - Febrero - Marzo","Ausente","5332.0"
"Grado","Contador Público","2019","2019 - 2 - Mayo","Reprobado","624.0"
"Grado","Contador Público","2019","2019 - 2 - Julio - Agosto","Reprobado","4031.0"
"Grado","Contador Público","2019","2019 - 2 - 11 - Noviembre - Diciembre","Reprobado","3416.0"
"Grado","Contador Público","2019","2019 - 2 - Nivelación","Reprobado","5.0"
"Grado","Contador Público","2019","2019 - 2 - Septiembre","Reprobado","361.0"
"Grado","Contador Público","2019","2019 - 2 - 11 - Febrero - Marzo","Reprobado","3095.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Febrero - Marzo","Aprobado","4447.0"
"Grado","Contador Público","2020","2020 - 2 - 11- Julio - Agosto","Aprobado","6482.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","6665.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","757.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","756.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Nivelación","Aprobado","18.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Febrero - Marzo","Ausente","6586.0"
"Grado","Contador Público","2020","2020 - 2 - 11- Julio - Agosto","Ausente","9057.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","7420.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","1934.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","1147.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Febrero - Marzo","Reprobado","3423.0"
"Grado","Contador Público","2020","2020 - 2 - 11- Julio - Agosto","Reprobado","4485.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","3430.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Mayo","Reprobado","650.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Reprobado","550.0"
"Grado","Contador Público","2020","2020 - 2 - 11 - Nivelación","Reprobado","9.0"
"Grado","Contador Público","2021","2021 - 2 - 11 - Nivelación","Aprobado","12.0"
