tipo_propuesta_formativa_desc,propuesta_formativa_desc,anio_academico,actividad_desc,periodo_lectivo,catedra_desc,comision_desc,condicion_regularidad_desc,resultado_desc,cantidad_alumnos,total,porcentaje
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Libre,19,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Sin Actuación,34,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Regular,Regular,5,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Libre,82,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Sin Actuación,143,,
Ciclo Básico,Contador Público,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Regular,Regular,68,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Libre,37,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Sin Actuación,64,,
Ciclo Básico,Licenciatura en Administración,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Regular,Regular,29,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Libre,15,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Libre,Sin Actuación,14,,
Ciclo Básico,Licenciatura en Economía,2019,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,SWOBODA_11-00004,SWOBODA,Regular,Regular,26,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,42,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,77,,
Ciclo Básico,Ciencias Económicas,2019,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Sin Actuación,Sin Actuación,143,,
