anio_academico,periodo_lectivo,resultado_desc,cantidad,porcentaje
2019,11 - CURSOS VERANO,Libres,488,42.32437120555074
2019,11 - CURSOS VERANO,Regulares,665,57.67562879444926
2019,11 - PRIMER SEMESTRE,Libres,8503,31.897812957196987
2019,11 - PRIMER SEMESTRE,Regulares,18154,68.10218704280302
2019,11 - SEGUNDO SEMESTRE,Libres,8192,29.839003423909084
2019,11 - SEGUNDO SEMESTRE,Regulares,19262,70.16099657609092
2019,NIVELACION,Libres,4223,49.17899149877722
2019,NIVELACION,Regulares,4364,50.82100850122278
2019,NIVELACION REDICTADO,Libres,468,50.48543689320388
2019,NIVELACION REDICTADO,Regulares,459,49.51456310679612
2020,11 - CURSOS VERANO,Libres,510,38.34586466165413
2020,11 - CURSOS VERANO,Regulares,820,61.65413533834586
2020,11 - NIVELACION,Libres,3215,41.61273621537665
2020,11 - NIVELACION,Regulares,4511,58.38726378462334
2020,11 - NIVELACION REDICTADO,Libres,766,45.704057279236274
2020,11 - NIVELACION REDICTADO,Regulares,910,54.295942720763726
2020,11 - PRIMER SEMESTRE,Libres,6294,21.400884053043182
2020,11 - PRIMER SEMESTRE,Regulares,23116,78.59911594695681
2020,11 - SEGUNDO SEMESTRE,Libres,8155,28.63614017838331
2020,11 - SEGUNDO SEMESTRE,Regulares,20323,71.36385982161669
2021,11 - CURSOS VERANO,Libres,631,50.238853503184714
2021,11 - CURSOS VERANO,Regulares,625,49.761146496815286
2021,11 - NIVELACION MAYO,Libres,2265,71.63187855787476
2021,11 - NIVELACION MAYO,Regulares,897,28.368121442125236
2021,11 - PRIMER SEMESTRE,Libres,8799,35.53859202714165
2021,11 - PRIMER SEMESTRE,Regulares,15960,64.46140797285835
2021,11 - SEGUNDO SEMESTRE,Libres,9333,36.29399183356018
2021,11 - SEGUNDO SEMESTRE,Regulares,16382,63.70600816643982
2022,11 - NIVELACION,Libres,3136,50.71151358344114
2022,11 - NIVELACION,Regulares,3048,49.28848641655886
2022,11 - NIVELACION REDICTADO,Libres,920,68.29992576095026
2022,11 - NIVELACION REDICTADO,Regulares,427,31.70007423904974
2022,11 - PRIMER SEMESTRE,Libres,9722,50.786188162774906
2022,11 - PRIMER SEMESTRE,Regulares,9421,49.213811837225094
